store_code,sales_date,sales_time,product_code,amount,payment_code,gender,age
0,2006/9/16,0:03:02,I00003,1,1,M,20
27001,2006/9/17,0:03:05,I00004,1,2,F,30
27002,2006/9/18,0:03:08,J00001,2,1,M,20
27003,2006/9/19,0:03:11,J00002,5,1,M,50
27004,2006/9/20,0:03:14,A00001,3,2,M,60
27005,2006/9/21,0:03:17,A00002,1,1,F,20
27006,2006/9/22,0:03:20,A00003,1,1,F,20
27007,2006/9/23,0:03:23,A00004,4,3,F,30
19001,2006/9/24,0:03:26,A00005,1,1,M,20
19002,2006/9/25,0:03:29,A00006,1,1,F,60
19003,2006/9/26,0:03:32,A00007,2,5,M,20
19004,2006/9/27,0:03:35,A00008,1,1,M,20
19005,2006/9/28,0:03:38,A00009,1,1,M,40
19006,2006/9/29,0:03:41,A00010,2,1,F,20
19007,2006/9/30,0:03:44,A00011,1,1,F,20
0,2006/10/1,0:03:47,A00012,1,2,F,30
27001,2006/10/2,0:03:50,A00013,1,3,M,30
27002,2006/10/3,0:03:53,A00014,3,4,F,20
27003,2006/10/4,0:03:56,A00015,1,1,M,20
27004,2006/10/5,0:03:59,A00016,1,2,M,60
27005,2006/10/6,0:04:02,A00017,2,1,M,20
27006,2006/10/7,0:04:05,A00018,5,1,F,30
27007,2006/10/8,0:04:08,A00019,3,2,F,20
19001,2006/10/9,0:04:11,A00020,1,1,F,50
19002,2006/10/10,0:04:14,A00021,1,1,M,60
19003,2006/10/11,0:04:17,A00001,4,3,F,20
19004,2006/10/12,0:04:20,A00002,1,1,M,20
19005,2006/10/13,0:04:23,A00003,1,1,M,30
19006,2006/10/14,0:04:26,A00004,2,5,M,20
19007,2006/10/15,0:04:29,A00005,1,1,F,60
0,2006/10/16,0:04:32,A00006,1,1,F,20
27001,2006/10/17,0:04:35,A00007,2,1,F,20
27002,2006/10/18,0:04:38,A00008,1,1,M,40
27003,2006/10/19,0:04:41,A00009,1,2,F,20
27004,2006/10/20,0:04:44,A00010,1,3,M,20
27005,2006/10/21,0:04:47,A00011,3,4,M,30
27006,2006/10/22,0:04:50,A00012,1,1,M,30
27007,2006/10/23,0:04:53,A00013,1,2,F,20
19001,2006/10/24,0:04:56,A00014,2,1,F,20
19002,2006/10/25,0:04:59,A00015,5,1,F,60
19003,2006/10/26,0:05:02,A00016,3,2,M,20
19004,2006/10/27,0:05:05,A00017,1,1,F,30
19005,2006/10/28,0:05:08,A00018,1,1,M,20
19006,2006/10/29,0:05:11,A00019,4,3,M,50
19007,2006/10/30,0:05:14,A00020,1,1,M,60
0,2006/10/31,0:05:17,A00021,1,1,F,20
27001,2006/11/1,0:05:20,B00001,2,5,F,20
27002,2006/11/2,0:05:23,B00002,1,1,F,30
27003,2006/11/3,0:05:26,B00003,1,1,M,20
27004,2006/11/4,0:05:29,B00004,2,1,F,60
27005,2006/11/5,0:05:32,B00005,1,1,M,20
27006,2006/11/6,0:05:35,B00006,1,2,M,20
27007,2006/11/7,0:05:38,B00007,1,3,M,40
19001,2006/11/8,0:05:41,C00001,3,4,F,20
19002,2006/11/9,0:05:44,C00002,1,1,F,20
19003,2006/11/10,0:05:47,C00003,1,2,F,30
19004,2006/11/11,0:05:50,C00004,2,1,M,30
19005,2006/11/12,0:05:53,C00005,5,1,F,20
19006,2006/11/13,0:05:56,D00001,3,2,M,20
19007,2006/11/14,0:05:59,D00002,1,1,M,60
0,2006/11/15,0:06:02,D00003,1,1,M,20
27001,2006/11/16,0:06:05,D00004,4,3,F,30
27002,2006/11/17,0:06:08,D00005,1,1,F,20
27003,2006/11/18,0:06:11,D00006,1,1,F,50
27004,2006/11/19,0:06:14,D00007,2,5,M,60
27005,2006/11/20,0:06:17,E00001,1,1,F,20
27006,2006/11/21,0:06:20,E00002,1,1,M,20
27007,2006/11/22,0:06:23,E00003,2,1,M,30
19001,2006/11/23,0:06:26,F00001,1,1,M,20
19002,2006/11/24,0:06:29,F00002,1,2,F,60
19003,2006/11/25,0:06:32,F00003,1,3,F,20
19004,2006/11/26,0:06:35,F00004,3,4,F,20
19005,2006/11/27,0:06:38,F00005,1,1,M,40
19006,2006/11/28,0:06:41,F00006,1,2,F,20
19007,2006/11/29,0:06:44,F00007,2,1,M,20
0,2006/11/30,0:06:47,G00001,5,1,M,30
27001,2006/12/1,0:06:50,G00002,3,2,M,30
27002,2006/12/2,0:06:53,G00003,1,1,F,20
27003,2006/12/3,0:06:56,G00004,1,1,F,20
27004,2006/12/4,0:06:59,H00001,4,3,F,60
27005,2006/12/5,0:07:02,H00002,1,1,M,20
27006,2006/12/6,0:07:05,H00003,1,1,F,30
27007,2006/12/7,0:07:08,H00004,2,5,M,20
19001,2006/12/8,0:07:11,I00001,1,1,M,50
19002,2006/12/9,0:07:14,I00002,1,1,M,60
19003,2006/12/10,0:07:17,I00003,2,1,F,20
19004,2006/12/11,0:07:20,I00004,1,1,F,20
19005,2006/12/12,0:07:23,J00001,1,2,F,30
19006,2006/12/13,0:07:26,J00002,1,3,M,20
19007,2006/12/14,0:07:29,A00001,3,4,F,60
0,2006/12/15,0:07:32,A00002,1,1,M,20
27001,2006/12/16,0:07:35,A00003,1,2,M,20
27002,2006/12/17,0:07:38,A00004,2,1,M,40
27003,2006/12/18,0:07:41,A00005,5,1,F,20
27004,2006/12/19,0:07:44,A00006,3,2,F,20
27005,2006/12/20,0:07:47,A00007,1,1,F,30
27006,2006/12/21,0:07:50,A00008,1,1,M,30
27007,2006/12/22,0:07:53,A00009,4,3,F,20
19001,2006/12/23,0:07:56,A00010,1,1,M,20
19002,2006/12/24,0:07:59,A00011,1,1,M,60
19003,2006/12/25,0:08:02,A00012,2,5,M,20
19004,2006/12/26,0:08:05,A00013,1,1,F,30
19005,2006/12/27,0:08:08,A00014,1,1,F,20
19006,2006/12/28,0:08:11,A00015,2,1,F,50
19007,2006/12/29,0:08:14,A00016,1,1,M,60
0,2006/12/30,0:08:17,A00017,1,2,F,20
27001,2006/12/31,0:08:20,A00018,1,3,M,20
27002,2007/1/1,0:08:23,A00019,3,4,M,30
27003,2007/1/2,0:08:26,A00020,1,1,M,20
27004,2007/1/3,0:08:29,A00021,1,2,F,60
27005,2007/1/4,0:08:32,A00001,2,1,F,20
27006,2007/1/5,0:08:35,A00002,5,1,F,20
27007,2007/1/6,0:08:38,A00003,3,2,M,40
19001,2007/1/7,0:08:41,A00004,1,1,F,20
19002,2007/1/8,0:08:44,A00005,1,1,M,20
19003,2007/1/9,0:08:47,A00006,4,3,M,30
19004,2007/1/10,0:08:50,A00007,1,1,M,30
19005,2007/1/11,0:08:53,A00008,1,1,F,20
19006,2007/1/12,0:08:56,A00009,2,5,F,20
19007,2007/1/13,0:08:59,A00010,1,1,F,60
0,2007/1/14,0:09:02,A00011,1,1,M,20
27001,2007/1/15,0:09:05,A00012,2,1,F,30
27002,2007/1/16,0:09:08,A00013,1,1,M,20
27003,2007/1/17,0:09:11,A00014,1,2,M,50
27004,2007/1/18,0:09:14,A00015,1,3,M,60
27005,2007/1/19,0:09:17,A00016,3,4,F,20
27006,2007/1/20,0:09:20,A00017,1,1,F,20
27007,2007/1/21,0:09:23,A00018,1,2,F,30
19001,2007/1/22,0:09:26,A00019,2,1,M,20
19002,2007/1/23,0:09:29,A00020,5,1,F,60
19003,2007/1/24,0:09:32,A00021,3,2,M,20
19004,2007/1/25,0:09:35,B00001,1,1,M,20
19005,2007/1/26,0:09:38,B00002,1,1,M,40
19006,2007/1/27,0:09:41,B00003,4,3,F,20
19007,2007/1/28,0:09:44,B00004,1,1,F,20
0,2007/1/29,0:09:47,B00005,1,1,F,30
27001,2007/1/30,0:09:50,B00006,2,5,M,30
27002,2007/1/31,0:09:53,B00007,1,1,F,20
27003,2007/2/1,0:09:56,C00001,1,1,M,20
27004,2007/2/2,0:09:59,C00002,2,1,M,60
27005,2007/2/3,0:10:02,C00003,1,1,M,20
27006,2007/2/4,0:10:05,C00004,1,2,F,30
27007,2007/2/5,0:10:08,C00005,1,3,F,20
19001,2007/2/6,0:10:11,D00001,3,4,F,50
19002,2007/2/7,0:10:14,D00002,1,1,M,60
19003,2007/2/8,0:10:17,D00003,1,2,F,20
19004,2007/2/9,0:10:20,D00004,2,1,M,20
19005,2007/2/10,0:10:23,D00005,5,1,M,30
19006,2007/2/11,0:10:26,D00006,3,2,M,20
19007,2007/2/12,0:10:29,D00007,1,1,F,60
0,2007/2/13,0:10:32,E00001,1,1,F,20
27001,2007/2/14,0:10:35,E00002,4,3,F,20
27002,2007/2/15,0:10:38,E00003,1,1,M,40
27003,2007/2/16,0:10:41,F00001,1,1,F,20
27004,2007/2/17,0:10:44,F00002,2,5,M,20
27005,2007/2/18,0:10:47,F00003,1,1,M,30
27006,2007/2/19,0:10:50,F00004,1,1,M,30
27007,2007/2/20,0:10:53,F00005,2,1,F,20
19001,2007/2/21,0:10:56,F00006,1,1,F,20
19002,2007/2/22,0:10:59,F00007,1,2,F,60
19003,2007/2/23,0:11:02,G00001,1,3,M,20
19004,2007/2/24,0:11:05,G00002,3,4,F,30
19005,2007/2/25,0:11:08,G00003,1,1,M,20
19006,2007/2/26,0:11:11,G00004,1,2,M,50
19007,2007/2/27,0:11:14,H00001,2,1,M,60
0,2007/2/28,0:11:17,H00002,5,1,F,20
27001,2007/3/1,0:11:20,H00003,3,2,F,20
27002,2007/3/2,0:11:23,H00004,1,1,F,30
27003,2007/3/3,0:11:26,I00001,1,1,M,20
27004,2007/3/4,0:11:29,I00002,4,3,F,60
27005,2007/3/5,0:11:32,I00003,1,1,M,20
27006,2007/3/6,0:11:35,I00004,1,1,M,20
27007,2007/3/7,0:11:38,J00001,2,5,M,40
19001,2007/3/8,0:11:41,J00002,1,1,F,20
19002,2007/3/9,0:11:44,A00001,1,1,F,20
19003,2007/3/10,0:11:47,A00002,2,1,F,30
19004,2007/3/11,0:11:50,A00003,1,1,M,30
19005,2007/3/12,0:11:53,A00004,1,2,F,20
19006,2007/3/13,0:11:56,A00005,1,3,M,20
19007,2007/3/14,0:11:59,A00006,3,4,M,60
0,2007/3/15,0:12:02,A00007,1,1,M,20
27001,2007/3/16,0:12:05,A00008,1,2,F,30
27002,2007/3/17,0:12:08,A00009,2,1,F,20
27003,2007/3/18,0:12:11,A00010,5,1,F,50
27004,2007/3/19,0:12:14,A00011,3,2,M,60
27005,2007/3/20,0:12:17,A00012,1,1,F,20
27006,2007/3/21,0:12:20,A00013,1,1,M,20
27007,2007/3/22,0:12:23,A00014,4,3,M,30
19001,2007/3/23,0:12:26,A00015,1,1,M,20
19002,2007/3/24,0:12:29,A00016,1,1,F,60
19003,2007/3/25,0:12:32,A00017,2,5,F,20
19004,2007/3/26,0:12:35,A00018,1,1,F,20
19005,2007/3/27,0:12:38,A00019,1,1,M,40
19006,2007/3/28,0:12:41,A00020,2,1,F,20
19007,2007/3/29,0:12:44,A00021,1,1,M,20
0,2007/3/30,0:12:47,A00001,1,2,M,30
27001,2007/3/31,0:12:50,A00002,1,3,M,30
27002,2007/4/1,0:12:53,A00003,3,4,F,20
27003,2007/4/2,0:12:56,A00004,1,1,F,20
27004,2007/4/3,0:12:59,A00005,1,2,F,60
27005,2007/4/4,0:13:02,A00006,2,1,M,20
27006,2007/4/5,0:13:05,A00007,5,1,F,30
27007,2007/4/6,0:13:08,A00008,3,2,M,20
19001,2007/4/7,0:13:11,A00009,1,1,M,50
19002,2007/4/8,0:13:14,A00010,1,1,M,60
19003,2007/4/9,0:13:17,A00011,4,3,F,20
19004,2007/4/10,0:13:20,A00012,1,1,F,20
19005,2007/4/11,0:13:23,A00013,1,1,F,30
19006,2007/4/12,0:13:26,A00014,2,5,M,20
19007,2007/4/13,0:13:29,A00015,1,1,F,60
0,2007/4/14,0:13:32,A00016,1,1,M,20
27001,2007/4/15,0:13:35,A00017,2,1,M,20
27002,2007/4/16,0:13:38,A00018,1,1,M,40
27003,2007/4/17,0:13:41,A00019,1,2,F,20
27004,2007/4/18,0:13:44,A00020,1,3,F,20
27005,2007/4/19,0:13:47,A00021,3,4,F,30
27006,2007/4/20,0:13:50,B00001,1,1,M,30
27007,2007/4/21,0:13:53,B00002,1,2,F,20
19001,2007/4/22,0:13:56,B00003,2,1,M,20
19002,2007/4/23,0:13:59,B00004,5,1,M,60
19003,2007/4/24,0:14:02,B00005,3,2,M,20
19004,2007/4/25,0:14:05,B00006,1,1,F,30
19005,2007/4/26,0:14:08,B00007,1,1,F,20
19006,2007/4/27,0:14:11,C00001,4,3,F,50
19007,2007/4/28,0:14:14,C00002,1,1,M,60
0,2007/4/29,0:14:17,C00003,1,1,F,20
27001,2007/4/30,0:14:20,C00004,2,5,M,20
27002,2007/5/1,0:14:23,C00005,1,1,M,30
27003,2007/5/2,0:14:26,D00001,1,1,M,20
27004,2007/5/3,0:14:29,D00002,2,1,F,60
27005,2007/5/4,0:14:32,D00003,1,1,F,20
27006,2007/5/5,0:14:35,D00004,1,2,F,20
27007,2007/5/6,0:14:38,D00005,1,3,M,40
19001,2007/5/7,0:14:41,D00006,3,4,F,20
19002,2007/5/8,0:14:44,D00007,1,1,M,20
19003,2007/5/9,0:14:47,E00001,1,2,M,30
19004,2007/5/10,0:14:50,E00002,2,1,M,30
19005,2007/5/11,0:14:53,E00003,5,1,F,20
19006,2007/5/12,0:14:56,F00001,3,2,F,20
19007,2007/5/13,0:14:59,F00002,1,1,F,60
0,2007/5/14,0:15:02,F00003,1,1,M,20
27001,2007/5/15,0:15:05,F00004,4,3,F,30
27002,2007/5/16,0:15:08,F00005,1,1,M,20
27003,2007/5/17,0:15:11,F00006,1,1,M,50
27004,2007/5/18,0:15:14,F00007,2,5,M,60
27005,2007/5/19,0:15:17,G00001,1,1,F,20
27006,2007/5/20,0:15:20,G00002,1,1,F,20
27007,2007/5/21,0:15:23,G00003,2,1,F,30
19001,2007/5/22,0:15:26,G00004,1,1,M,20
19002,2007/5/23,0:15:29,H00001,1,2,F,60
19003,2007/5/24,0:15:32,H00002,1,3,M,20
19004,2007/5/25,0:15:35,H00003,3,4,M,20
19005,2007/5/26,0:15:38,H00004,1,1,M,40
19006,2007/5/27,0:15:41,I00001,1,2,F,20
19007,2007/5/28,0:15:44,I00002,2,1,F,20
0,2007/5/29,0:15:47,I00003,5,1,F,30
27001,2007/5/30,0:15:50,I00004,3,2,M,30
27002,2007/5/31,0:15:53,J00001,1,1,F,20
27003,2007/6/1,0:15:56,J00002,1,1,M,20
27004,2007/6/2,0:15:59,A00001,4,3,M,60
27005,2007/6/3,0:16:02,A00002,1,1,M,20
27006,2007/6/4,0:16:05,A00003,1,1,F,30
27007,2007/6/5,0:16:08,A00004,2,5,F,20
19001,2007/6/6,0:16:11,A00005,1,1,F,50
19002,2007/6/7,0:16:14,A00006,1,1,M,60
19003,2007/6/8,0:16:17,A00007,2,1,F,20
19004,2007/6/9,0:16:20,A00008,1,1,M,20
19005,2007/6/10,0:16:23,A00009,1,2,M,30
19006,2007/6/11,0:16:26,A00010,1,3,M,20
19007,2007/6/12,0:16:29,A00011,3,4,F,60
0,2007/6/13,0:16:32,A00012,1,1,F,20
27001,2007/6/14,0:16:35,A00013,1,2,F,20
27002,2007/6/15,0:16:38,A00014,2,1,M,40
27003,2007/6/16,0:16:41,A00015,5,1,F,20
27004,2007/6/17,0:16:44,A00016,3,2,M,20
27005,2007/6/18,0:16:47,A00017,1,1,M,30
27006,2007/6/19,0:16:50,A00018,1,1,M,30
27007,2007/6/20,0:16:53,A00019,4,3,F,20
19001,2007/6/21,0:16:56,A00020,1,1,F,20
19002,2007/6/22,0:16:59,A00021,1,1,F,60
19003,2007/6/23,0:17:02,A00001,2,5,M,20
19004,2007/6/24,0:17:05,A00002,1,1,F,30
19005,2007/6/25,0:17:08,A00003,1,1,M,20
19006,2007/6/26,0:17:11,A00004,2,1,M,50
19007,2007/6/27,0:17:14,A00005,1,1,M,60
0,2007/6/28,0:17:17,A00006,1,2,F,20
27001,2007/6/29,0:17:20,A00007,1,3,F,20
27002,2007/6/30,0:17:23,A00008,3,4,F,30
27003,2007/7/1,0:17:26,A00009,1,1,M,20
27004,2007/7/2,0:17:29,A00010,1,2,F,60
27005,2007/7/3,0:17:32,A00011,2,1,M,20
27006,2007/7/4,0:17:35,A00012,5,1,M,20
27007,2007/7/5,0:17:38,A00013,3,2,M,40
19001,2007/7/6,0:17:41,A00014,1,1,F,20
19002,2007/7/7,0:17:44,A00015,1,1,F,20
19003,2007/7/8,0:17:47,A00016,4,3,F,30
19004,2007/7/9,0:17:50,A00017,1,1,M,30
19005,2007/7/10,0:17:53,A00018,1,1,F,20
19006,2007/7/11,0:17:56,A00019,2,5,M,20
19007,2007/7/12,0:17:59,A00020,1,1,M,60
0,2007/7/13,0:18:02,A00021,1,1,M,20
27001,2007/7/14,0:18:05,B00001,2,1,F,30
27002,2007/7/15,0:18:08,B00002,1,1,F,20
27003,2007/7/16,0:18:11,B00003,1,2,F,50
27004,2007/7/17,0:18:14,B00004,1,3,M,60
27005,2007/7/18,0:18:17,B00005,3,4,F,20
27006,2007/7/19,0:18:20,B00006,1,1,M,20
27007,2007/7/20,0:18:23,B00007,1,2,M,30
19001,2007/7/21,0:18:26,C00001,2,1,M,20
19002,2007/7/22,0:18:29,C00002,5,1,F,60
19003,2007/7/23,0:18:32,C00003,3,2,F,20
19004,2007/7/24,0:18:35,C00004,1,1,F,20
19005,2007/7/25,0:18:38,C00005,1,1,M,40
19006,2007/7/26,0:18:41,D00001,4,3,F,20
19007,2007/7/27,0:18:44,D00002,1,1,M,20
0,2007/7/28,0:18:47,D00003,1,1,M,30
27001,2007/7/29,0:18:50,D00004,2,5,M,30
27002,2007/7/30,0:18:53,D00005,1,1,F,20
27003,2007/7/31,0:18:56,D00006,1,1,F,20
27004,2007/8/1,0:18:59,D00007,2,1,F,60
27005,2007/8/2,0:19:02,E00001,1,1,M,20
27006,2007/8/3,0:19:05,E00002,1,2,F,30
27007,2007/8/4,0:19:08,E00003,1,3,M,20
19001,2007/8/5,0:19:11,F00001,3,4,M,50
19002,2007/8/6,0:19:14,F00002,1,1,M,60
19003,2007/8/7,0:19:17,F00003,1,2,F,20
19004,2007/8/8,0:19:20,F00004,2,1,F,20
19005,2007/8/9,0:19:23,F00005,5,1,F,30
19006,2007/8/10,0:19:26,F00006,3,2,M,20
19007,2007/8/11,0:19:29,F00007,1,1,F,60
0,2007/8/12,0:19:32,G00001,1,1,M,20
27001,2007/8/13,0:19:35,G00002,4,3,M,20
27002,2007/8/14,0:19:38,G00003,1,1,M,40
27003,2007/8/15,0:19:41,G00004,1,1,F,20
27004,2007/8/16,0:19:44,H00001,2,5,F,20
27005,2007/8/17,0:19:47,H00002,1,1,F,30
27006,2007/8/18,0:19:50,H00003,1,1,M,30
27007,2007/8/19,0:19:53,H00004,2,1,F,20
19001,2007/8/20,0:19:56,I00001,1,1,M,20
19002,2007/8/21,0:19:59,I00002,1,2,M,60
19003,2007/8/22,0:20:02,I00003,1,3,M,20
19004,2007/8/23,0:20:05,I00004,3,4,F,30
19005,2007/8/24,0:20:08,J00001,1,1,F,20
19006,2007/8/25,0:20:11,J00002,1,2,F,50
19007,2007/8/26,0:20:14,A00001,2,1,M,60
0,2007/8/27,0:20:17,A00002,5,1,F,20
27001,2007/8/28,0:20:20,A00003,3,2,M,20
27002,2007/8/29,0:20:23,A00004,1,1,M,30
27003,2007/8/30,0:20:26,A00005,1,1,M,20
27004,2007/8/31,0:20:29,A00006,4,3,F,60
27005,2007/9/1,0:20:32,A00007,1,1,F,20
27006,2007/9/2,0:20:35,A00008,1,1,F,20
27007,2007/9/3,0:20:38,A00009,2,5,M,40
19001,2007/9/4,0:20:41,A00010,1,1,F,20
19002,2007/9/5,0:20:44,A00011,1,1,M,20
19003,2007/9/6,0:20:47,A00012,2,1,M,30
19004,2007/9/7,0:20:50,A00013,1,1,M,30
19005,2007/9/8,0:20:53,A00014,1,2,F,20
19006,2007/9/9,0:20:56,A00015,1,3,F,20
19007,2007/9/10,0:20:59,A00016,3,4,F,60
0,2007/9/11,0:21:02,A00017,1,1,M,20
27001,2007/9/12,0:21:05,A00018,1,2,F,30
27002,2007/9/13,0:21:08,A00019,2,1,M,20
27003,2007/9/14,0:21:11,A00020,5,1,M,50
27004,2007/9/15,0:21:14,A00021,3,2,M,60
27005,2007/9/16,0:21:17,A00001,1,1,F,20
27006,2007/9/17,0:21:20,A00002,1,1,F,20
27007,2007/9/18,0:21:23,A00003,4,3,F,30
19001,2007/9/19,0:21:26,A00004,1,1,M,20
19002,2007/9/20,0:21:29,A00005,1,1,F,60
19003,2007/9/21,0:21:32,A00006,2,5,M,20
19004,2007/9/22,0:21:35,A00007,1,1,M,20
19005,2007/9/23,0:21:38,A00008,1,1,M,40
19006,2007/9/24,0:21:41,A00009,2,1,F,20
19007,2007/9/25,0:21:44,A00010,1,1,F,20
0,2007/9/26,0:21:47,A00011,1,2,F,30
27001,2007/9/27,0:21:50,A00012,1,3,M,30
27002,2007/9/28,0:21:53,A00013,3,4,F,20
27003,2007/9/29,0:21:56,A00014,1,1,M,20
27004,2007/9/30,0:21:59,A00015,1,2,M,60
27005,2007/10/1,0:22:02,A00016,2,1,M,20
27006,2007/10/2,0:22:05,A00017,5,1,F,30
27007,2007/10/3,0:22:08,A00018,3,2,F,20
19001,2007/10/4,0:22:11,A00019,1,1,F,50
19002,2007/10/5,0:22:14,A00020,1,1,M,60
19003,2007/10/6,0:22:17,A00021,4,3,F,20
19004,2007/10/7,0:22:20,B00001,1,1,M,20
19005,2007/10/8,0:22:23,B00002,1,1,M,30
19006,2007/10/9,0:22:26,B00003,2,5,M,20
19007,2007/10/10,0:22:29,B00004,1,1,F,60
0,2007/10/11,0:22:32,B00005,1,1,F,20
27001,2007/10/12,0:22:35,B00006,2,1,F,20
27002,2007/10/13,0:22:38,B00007,1,1,M,40
27003,2007/10/14,0:22:41,C00001,1,2,F,20
27004,2007/10/15,0:22:44,C00002,1,3,M,20
27005,2007/10/16,0:22:47,C00003,3,4,M,30
27006,2007/10/17,0:22:50,C00004,1,1,M,30
27007,2007/10/18,0:22:53,C00005,1,2,F,20
19001,2007/10/19,0:22:56,D00001,2,1,F,20
19002,2007/10/20,0:22:59,D00002,5,1,F,60
19003,2007/10/21,0:23:02,D00003,3,2,M,20
19004,2007/10/22,0:23:05,D00004,1,1,F,30
19005,2007/10/23,0:23:08,D00005,1,1,M,20
19006,2007/10/24,0:23:11,D00006,4,3,M,50
19007,2007/10/25,0:23:14,D00007,1,1,M,60
0,2007/10/26,0:23:17,E00001,1,1,F,20
27001,2007/10/27,0:23:20,E00002,2,5,F,20
27002,2007/10/28,0:23:23,E00003,1,1,F,30
27003,2007/10/29,0:23:26,F00001,1,1,M,20
27004,2007/10/30,0:23:29,F00002,2,1,F,60
27005,2007/10/31,0:23:32,F00003,1,1,M,20
27006,2007/11/1,0:23:35,F00004,1,2,M,20
27007,2007/11/2,0:23:38,F00005,1,3,M,40
19001,2007/11/3,0:23:41,F00006,3,4,F,20
19002,2007/11/4,0:23:44,F00007,1,1,F,20
19003,2007/11/5,0:23:47,G00001,1,2,F,30
19004,2007/11/6,0:23:50,G00002,2,1,M,30
19005,2007/11/7,0:23:53,G00003,5,1,F,20
19006,2007/11/8,0:23:56,G00004,3,2,M,20
19007,2007/11/9,0:23:59,H00001,1,1,M,60
0,2007/11/10,0:24:02,H00002,1,1,M,20
27001,2007/11/11,0:24:05,H00003,4,3,F,30
27002,2007/11/12,0:24:08,H00004,1,1,F,20
27003,2007/11/13,0:24:11,I00001,1,1,F,50
27004,2007/11/14,0:24:14,I00002,2,5,M,60
27005,2007/11/15,0:24:17,I00003,1,1,F,20
27006,2007/11/16,0:24:20,I00004,1,1,M,20
27007,2007/11/17,0:24:23,J00001,2,1,M,30
19001,2007/11/18,0:24:26,J00002,1,1,M,20
19002,2007/11/19,0:24:29,A00001,1,2,F,60
19003,2007/11/20,0:24:32,A00002,1,3,F,20
19004,2007/11/21,0:24:35,A00003,3,4,F,20
19005,2007/11/22,0:24:38,A00004,1,1,M,40
19006,2007/11/23,0:24:41,A00005,1,2,F,20
19007,2007/11/24,0:24:44,A00006,2,1,M,20
0,2007/11/25,0:24:47,A00007,5,1,M,30
27001,2007/11/26,0:24:50,A00008,3,2,M,30
27002,2007/11/27,0:24:53,A00009,1,1,F,20
27003,2007/11/28,0:24:56,A00010,1,1,F,20
